 ,Area,Mean,X,Y,BX,BY,Width,Height
1,92222.217,12495.986,3921.502,234.496,3742.054,50.700,358.800,349.050
2,85822.597,12295.957,3262.151,390.541,3084.903,193.050,339.300,386.100
3,64422.084,11190.062,4548.298,431.992,4407.004,282.750,278.850,310.050
4,80997.214,12566.847,2445.344,583.191,2267.852,388.050,384.150,370.500
5,59737.394,10536.496,6465.985,577.260,6323.856,444.600,308.100,273.000
6,63653.977,11197.986,5797.403,706.733,5649.156,557.701,286.650,286.650
7,60091.028,9326.657,1113.868,829.978,986.701,664.951,273.000,313.950
8,110360.178,14487.254,2738.252,940.738,2552.553,680.551,331.500,518.701
9,66935.541,10772.746,5105.682,843.026,4939.355,694.201,325.650,288.600
10,64676.852,11109.021,5408.764,845.981,5255.255,727.351,329.550,269.100
11,80236.713,10856.550,6124.086,885.858,5939.706,746.851,376.350,306.150
12,64806.137,12721.844,4558.598,933.558,4430.404,776.101,249.600,313.950
13,89290.484,12286.905,1648.125,1158.077,1476.151,1006.201,366.600,343.200
14,31674.888,7966.545,155.580,1109.631,46.800,1010.101,224.250,206.700
15,88111.706,14733.029,3065.503,1212.471,2856.753,1047.151,458.250,354.900
16,36720.816,10013.625,296.187,1271.595,171.600,1152.451,235.950,226.200
17,50596.166,13910.399,4552.172,1420.552,4422.604,1283.101,274.950,261.300
18,95937.267,12786.993,6484.398,1511.037,6312.156,1335.751,360.750,382.200
19,56615.536,12510.329,2221.252,1455.961,2041.652,1345.501,390.000,218.400
20,49402.179,13480.949,3054.304,1503.815,2891.853,1407.901,327.600,200.850
21,76491.243,12606.820,655.945,1663.746,501.151,1501.502,325.650,310.050
22,83563.907,13820.366,2473.464,1660.289,2178.152,1515.152,505.051,290.550
23,123957.945,13888.432,4532.824,1729.465,4290.004,1521.002,460.200,395.850
24,68182.764,14100.690,2841.457,1685.115,2689.053,1542.452,329.550,290.550
25,86191.440,11905.276,5039.937,1773.516,4873.055,1583.402,366.600,351.000
26,75567.234,12239.909,3453.676,1868.358,3268.203,1714.052,354.900,308.100
27,48843.210,11580.100,6399.238,1881.089,6275.106,1751.102,259.350,255.450
28,92807.803,13927.792,3091.543,1972.040,2860.653,1780.352,444.600,397.800
29,117596.350,14837.283,2432.868,2043.517,2158.652,1811.552,512.851,442.650
30,79544.657,13264.379,2698.147,2206.707,2505.753,1985.102,358.800,407.550
31,80407.826,11564.098,5374.386,2246.644,5218.205,2063.102,300.300,376.350
32,40184.900,8798.299,7634.427,2435.548,7523.108,2316.602,222.300,237.900
33,74677.447,12500.911,6284.917,2629.827,6109.356,2468.702,360.750,292.500
34,63022.761,13219.216,4943.473,2681.381,4802.855,2538.903,296.400,273.000
35,95252.816,13272.937,472.376,2806.078,292.500,2607.153,347.100,376.350
36,93442.822,10660.339,8140.896,2879.846,7942.358,2708.553,360.750,380.250
37,75084.315,13222.581,3222.964,2872.898,3057.603,2718.303,331.500,313.950
38,48649.282,9107.962,7753.556,2867.471,7605.008,2747.553,294.450,232.050
39,63201.479,11452.378,5983.120,2914.798,5828.556,2770.953,300.300,274.950
40,37701.863,10921.974,7647.442,3059.683,7534.808,2938.653,226.200,230.100
41,98800.555,12275.991,5525.919,3236.438,5319.605,3063.453,403.650,319.800
42,63699.607,13668.424,3813.128,3267.386,3669.904,3129.753,304.200,290.550
43,63342.172,11500.581,3393.346,3291.993,3244.803,3135.603,290.550,298.350
44,39089.778,9413.161,8015.672,3262.596,7907.258,3149.253,218.400,232.050
45,61068.272,13255.220,1390.256,3340.405,1248.001,3194.103,278.850,290.550
46,61243.187,12435.116,5167.676,3498.529,5021.255,3348.153,290.550,304.200
47,64714.877,12402.976,2611.355,3489.471,2433.602,3357.903,335.400,263.250
48,116748.391,12945.361,2089.964,3589.401,1850.552,3402.753,448.500,388.050
49,89602.289,11629.426,618.612,3656.562,460.200,3439.803,329.550,405.600
50,64612.209,11443.542,6032.404,3611.426,5904.606,3449.553,273.000,331.500
51,38428.142,11704.180,6683.526,3631.471,6544.207,3523.654,274.950,200.850
52,47204.329,11500.994,4218.093,3696.104,4096.954,3570.454,263.250,239.850
53,59045.338,13239.617,6653.554,3826.554,6503.257,3705.004,349.050,271.050
54,70855.927,11689.553,7674.361,3930.633,7521.158,3773.254,294.450,337.350
55,63163.454,11965.581,6886.266,4062.251,6733.357,3927.304,302.250,280.800
56,45443.768,9276.297,6605.288,4312.350,6491.556,4174.954,224.250,280.800
57,70376.811,12671.627,2296.962,4319.525,2115.752,4198.354,356.850,243.750
58,92172.784,14502.963,1868.196,4404.549,1690.652,4219.804,388.050,376.350
59,26465.453,6709.245,3145.207,4323.536,3059.553,4225.654,173.550,196.950
60,59843.865,16707.017,1122.829,4397.998,976.951,4243.204,321.750,333.450
61,105333.263,15340.269,1401.273,4513.595,1146.601,4387.504,538.201,263.250
62,42782.013,11473.538,4441.366,4696.342,4319.254,4578.605,241.800,228.150
63,95857.414,10725.325,7231.073,4923.707,7062.907,4715.105,345.150,432.900
64,26408.415,7245.756,3209.119,4906.609,3106.353,4826.255,210.600,171.600
65,60562.539,11642.944,6810.068,5038.696,6665.107,4894.505,273.000,292.500
66,44607.217,9384.953,3381.114,5065.508,3248.703,4931.555,253.500,257.400
67,44835.367,9514.527,8034.235,5074.854,7917.008,4951.055,237.900,241.800
68,35203.615,10470.765,5634.057,5071.036,5524.356,4968.605,222.300,210.600
69,87758.073,12254.331,5058.135,5184.709,4900.355,4993.955,321.750,393.900
70,19286.319,3384.991,3840.508,5498.541,3757.654,5432.705,171.600,136.500
71,74647.027,10540.891,4740.262,5694.925,4520.105,5553.606,401.700,292.500
72,31610.246,9787.848,5215.626,5708.961,5120.705,5608.206,198.900,200.850
73,54421.489,9625.123,4351.639,5742.973,4192.504,5629.656,317.850,247.650
74,44071.063,12355.150,3422.530,5911.551,3307.203,5791.506,235.950,237.900
75,54771.320,10589.302,197.333,5938.487,62.400,5799.306,261.300,288.600
76,70848.322,9438.966,415.810,6014.153,288.600,5830.506,255.450,384.150
77,122288.645,11000.272,1238.751,6066.594,1027.651,5865.606,452.400,368.550
78,35918.487,8785.802,7249.204,6082.881,7137.007,5968.956,206.700,228.150
79,26149.845,4662.092,6615.153,6082.096,6524.707,5998.206,181.350,175.500
80,87355.007,11434.262,2540.893,6243.403,2382.902,6058.656,323.700,364.650
81,59174.623,10017.277,8106.167,6299.782,7936.508,6185.406,329.550,247.650
82,33754.860,8522.137,7659.503,6487.171,7546.508,6386.256,224.250,208.650
83,19582.914,4393.205,4443.658,6529.849,4368.004,6438.906,142.350,179.400
84,28553.030,8947.294,412.378,6561.293,315.900,6470.106,208.650,187.200
85,45816.414,9890.085,6829.352,6650.780,6680.707,6534.457,282.750,230.100
86,72757.181,10588.168,1140.074,6732.427,984.751,6577.357,315.900,300.300
87,88522.377,10567.605,1662.658,6841.415,1493.701,6637.807,356.850,368.550
88,71928.234,11654.986,5885.914,6835.576,5748.606,6667.057,267.150,333.450
89,98895.618,10527.673,7184.208,6966.736,6969.307,6805.507,407.550,399.750
90,71749.516,10693.910,2893.931,6985.768,2698.803,6830.857,364.650,304.200
91,64794.730,12305.406,2420.073,7018.315,2306.852,6840.607,241.800,354.900
92,25431.171,7699.817,1413.405,6947.308,1320.151,6864.007,181.350,173.550
93,42070.944,11190.478,3856.931,7081.916,3736.204,6949.807,243.750,245.700
94,80358.393,10861.324,5608.104,7169.708,5473.655,6994.657,300.300,374.400
95,36226.490,9962.917,6265.875,7284.202,6148.356,7162.357,234.000,230.100
96,42629.913,9602.456,7045.534,7327.044,6930.307,7197.457,224.250,265.200
97,82963.111,9413.400,160.304,7417.108,27.300,7234.507,304.200,407.550
98,56140.222,9788.350,972.090,7390.824,834.601,7240.357,274.950,304.200
99,88533.785,11103.529,3522.822,7417.154,3346.203,7248.157,374.400,335.400
100,49672.157,9448.227,2264.352,7529.629,2133.302,7408.057,259.350,253.500
101,113482.037,11485.601,2059.925,7903.598,1858.352,7638.158,393.900,516.751
102,61197.557,11909.176,6426.703,7899.796,6292.656,7735.658,273.000,313.950
103,45052.110,10171.090,5027.466,7936.405,4914.005,7811.708,237.900,249.600
104,45052.110,11477.152,1844.642,7985.327,1727.702,7856.558,232.050,247.650
105,102762.768,11260.057,6948.166,8077.107,6766.507,7864.358,352.950,407.550
