 ,Area,Mean,X,Y,BX,BY,Width,Height,
1,17312.817,1088.198,3883.113,60.642,3810.304,0.000,146.250,128.700,
2,16776.664,998.327,3104.850,244.868,3036.153,173.550,138.450,140.400,
3,18464.977,1020.912,4491.049,253.859,4412.854,177.450,150.150,152.100,
4,14810.767,910.686,6253.114,457.731,6189.306,390.000,130.650,130.650,
5,16229.102,965.339,5680.207,461.942,5610.156,393.900,140.400,134.550,
6,18628.485,1052.960,2473.777,484.503,2398.502,411.450,150.150,142.350,
7,17149.309,936.246,5072.182,659.201,4999.805,588.901,146.250,138.450,
8,16145.447,1018.390,6057.637,659.445,5988.456,588.901,134.550,144.300,
9,16396.413,940.750,4488.596,662.111,4418.704,590.851,136.500,138.450,
10,15677.739,914.213,5272.154,665.803,5204.555,598.651,136.500,132.600,
11,18822.413,974.525,1071.894,706.200,998.401,633.751,148.200,142.350,
12,20833.939,1093.262,2680.401,887.095,2601.303,809.251,154.050,157.950,
13,19138.021,1026.986,1677.120,897.324,1604.852,820.951,144.300,150.150,
14,13776.485,882.572,65.626,917.915,0.000,856.051,128.700,126.750,
15,19252.096,1072.153,2882.310,1077.917,2808.003,1006.201,146.250,148.200,
16,14651.062,909.538,267.604,1117.041,204.750,1049.101,126.750,132.600,
17,17510.548,1068.715,6269.267,1253.253,6201.006,1179.751,136.500,146.250,
18,17149.309,932.391,4492.664,1257.105,4424.554,1185.601,140.400,144.300,
19,18849.030,904.092,2284.784,1291.526,2211.302,1212.901,144.300,154.050,
20,16308.955,894.004,2883.973,1284.408,2817.753,1214.851,134.550,136.500,
21,19864.300,1033.019,4497.431,1464.326,4422.604,1388.401,150.150,152.100,
22,18461.174,1021.139,4872.110,1477.204,4800.905,1405.951,142.350,144.300,
23,18666.510,1052.057,2489.154,1490.929,2414.102,1417.651,148.200,144.300,
24,18107.541,989.795,2686.304,1487.457,2616.903,1417.651,138.450,142.350,
25,17571.388,1004.371,675.897,1514.957,606.451,1444.951,140.400,138.450,
26,15959.124,923.008,6276.309,1651.296,6206.856,1583.402,136.500,136.500,
27,17810.946,946.924,3293.406,1684.086,3225.303,1612.652,134.550,142.350,
28,20742.679,1098.545,2490.762,1690.859,2414.102,1614.602,152.100,156.000,
29,19004.933,1067.870,2889.830,1687.107,2817.753,1616.552,146.250,142.350,
30,17225.359,934.052,2690.849,1892.903,2620.803,1825.202,140.400,136.500,
31,15229.043,952.628,5282.925,2078.411,5214.305,2012.402,138.450,128.700,
32,15768.999,950.221,7535.953,2264.560,7464.607,2199.602,140.400,128.700,
33,17525.758,1004.856,6129.182,2472.318,6058.656,2400.452,140.400,142.350,
34,17970.651,989.727,4917.210,2476.040,4847.705,2402.402,138.450,146.250,
35,14879.212,970.428,7940.729,2664.544,7876.058,2597.403,126.750,132.600,
36,15415.366,920.521,5922.154,2676.031,5855.856,2607.153,134.550,132.600,
37,13240.331,841.826,7741.013,2671.456,7679.108,2609.103,128.700,118.950,
38,18712.140,1003.513,3103.394,2692.177,3032.253,2618.853,142.350,144.300,
39,18693.127,1058.736,499.723,2693.452,427.050,2620.803,142.350,146.250,
40,14856.397,902.976,7537.379,2866.987,7474.357,2800.203,134.550,132.600,
41,11841.009,825.573,7943.314,3061.878,7878.008,3004.953,124.800,115.050,
42,17963.046,1033.146,5525.707,3079.690,5456.105,3006.903,140.400,144.300,
43,17430.695,993.019,3709.774,3089.857,3640.654,3018.603,138.450,142.350,
44,16902.146,944.638,3310.297,3090.509,3242.853,3020.553,134.550,140.400,
45,18400.334,984.424,1303.321,3100.945,1234.351,3028.353,140.400,146.250,
46,15837.444,937.232,5119.778,3276.906,5044.655,3209.703,142.350,132.600,
47,18560.040,980.609,2501.922,3293.909,2425.802,3221.403,152.100,142.350,
48,18118.949,1017.201,495.108,3297.201,423.150,3225.303,144.300,144.300,
49,14533.184,939.401,5929.794,3476.913,5865.606,3412.503,126.750,132.600,
50,20731.271,1079.484,2098.952,3493.198,2022.152,3416.403,154.050,154.050,
51,17191.137,917.147,4112.949,3490.405,4046.254,3418.353,136.500,148.200,
52,9506.269,812.448,6527.502,3479.619,6468.156,3424.203,115.050,105.300,
53,14620.642,938.294,7540.629,3666.623,7478.257,3601.654,124.800,132.600,
54,14890.620,957.701,6533.564,3678.184,6468.156,3615.304,130.650,126.750,
55,14521.777,942.670,6731.240,3876.660,6667.057,3810.304,130.650,134.550,
56,13567.347,910.600,6534.901,4078.346,6472.056,4015.054,128.700,126.750,
57,19548.692,1086.046,1098.344,4093.778,1021.801,4020.904,152.100,144.300,
58,12464.620,902.668,3100.357,4081.584,3043.953,4024.804,130.650,126.750,
59,18141.764,983.128,2102.219,4099.346,2026.052,4026.754,156.000,140.400,
60,18487.792,1060.532,1500.109,4293.982,1427.401,4219.804,146.250,148.200,
61,19350.961,1065.320,1700.440,4297.286,1628.252,4223.704,144.300,146.250,
62,16092.212,976.493,4314.078,4490.864,4245.154,4424.554,136.500,132.600,
63,14479.949,912.181,3103.631,4688.139,3034.203,4627.355,134.550,122.850,
64,14483.751,921.790,7941.273,4874.119,7879.958,4808.705,122.850,128.700,
65,15164.400,1002.849,7136.433,4880.774,7068.757,4816.505,132.600,130.650,
66,13886.758,973.381,6741.291,4883.203,6676.807,4818.455,126.750,128.700,
67,15605.491,952.478,3304.047,4891.217,3235.053,4826.255,138.450,130.650,
68,15578.874,980.643,5524.634,4897.094,5458.055,4830.155,132.600,132.600,
69,17860.378,1082.716,4917.344,5093.357,4845.755,5021.255,144.300,144.300,
70,11152.755,825.211,3705.860,5299.378,3644.554,5235.755,117.000,118.950,
71,15807.024,1005.166,4515.171,5493.694,4447.954,5428.805,136.500,134.550,
72,14681.482,901.170,5120.571,5494.384,5050.505,5428.805,134.550,134.550,
73,15540.849,926.139,4310.508,5496.548,4243.204,5432.705,136.500,130.650,
74,16879.331,1058.890,86.568,5671.090,11.700,5602.356,144.300,138.450,
75,16822.294,973.201,3304.978,5698.529,3238.953,5627.706,132.600,140.400,
76,15772.802,962.272,281.368,5870.235,216.450,5805.156,132.600,130.650,
77,17932.626,1066.116,1292.415,5881.174,1214.851,5807.106,146.250,146.250,
78,13027.391,840.875,6526.957,5897.182,6466.206,5836.356,120.900,124.800,
79,13708.040,876.134,7130.989,5903.798,7068.757,5840.256,124.800,126.750,
80,17807.143,1043.277,2500.887,6094.023,2423.852,6023.556,146.250,140.400,
81,14152.933,972.630,7941.702,6096.892,7878.008,6031.356,124.800,126.750,
82,14498.961,912.284,280.492,6272.606,214.500,6206.856,132.600,130.650,
83,11179.372,882.891,7544.791,6296.509,7482.157,6241.956,118.950,118.950,
84,12217.457,842.597,4306.301,6300.764,4245.154,6243.906,128.700,115.050,
85,15852.654,935.111,1090.550,6481.261,1019.851,6415.506,138.450,132.600,
86,16175.867,965.407,1491.213,6487.310,1419.601,6421.356,138.450,134.550,
87,15210.030,1009.363,6727.523,6520.984,6659.257,6456.456,134.550,128.700,
88,16442.043,967.090,2289.525,6692.468,2221.052,6624.157,142.350,136.500,
89,13844.930,859.756,1278.704,6683.758,1212.901,6626.107,140.400,118.950,
90,16012.360,961.837,2693.522,6697.993,2622.753,6630.007,138.450,134.550,
91,18187.394,1032.635,5716.319,6721.503,5643.306,6649.507,144.300,144.300,
92,17012.419,1085.697,6931.331,6731.506,6862.057,6659.257,138.450,142.350,
93,15666.331,983.063,3697.890,6901.797,3630.904,6832.807,134.550,134.550,
94,18137.961,1039.796,5512.969,6920.373,5440.505,6848.407,142.350,144.300,
95,17445.905,1001.809,67.255,7076.472,0.000,7004.407,136.500,142.350,
96,15339.316,903.951,876.224,7085.832,807.301,7018.057,138.450,132.600,
97,18366.112,993.712,3289.933,7109.806,3217.503,7037.557,142.350,144.300,
98,15320.303,983.951,6117.822,7122.954,6050.856,7053.157,130.650,134.550,
99,14468.541,874.828,6924.254,7126.709,6860.107,7060.957,126.750,130.650,
100,12776.426,925.941,2070.846,7301.658,2012.402,7238.407,120.900,130.650,
101,19031.551,1018.002,1874.960,7501.770,1801.802,7429.507,148.200,144.300,
102,13829.720,843.398,1674.383,7692.504,1610.702,7630.358,130.650,124.800,
103,17495.337,987.503,4892.564,7720.300,4822.355,7649.858,140.400,142.350,
104,16651.181,986.558,6303.602,7734.591,6234.156,7663.508,138.450,138.450,
105,18092.331,1060.182,6705.313,7939.208,6631.957,7870.208,148.200,132.600,
